from_station,to_station,speed(km/h),distance(m),travel_time(seconds)
Zweisimmen,Saanenmöser,50,11457,825
Saanenmöser,Schönried,44,2737,225
Schönried,Gstaad,47,6267,480
Gstaad,Saanen,38,3032,285
Saanen,Rougemont,73,5754,285
Rougemont,Château-d'Oex,61,9165,540
Château-d'Oex,Rossinière,62,5966,345
Rossinière,Montbovon,59,7836,480
Montbovon,Les Avants,45,14232,1140
Les Avants,Chamby,25,4514,645
Chamby,Chernex,45,3527,285
Chernex,Montreux,32,4837,540
Montreux,Chernex,33,4837,525
Chernex,Chamby,37,3527,345
Chamby,Les Avants,45,4514,360
Les Avants,Allières,50,8124,585
Allières,Les Sciernes,52,4114,285
Les Sciernes,Montbovon,30,1994,240
Montbovon,La Tine,43,3413,285
La Tine,Rossinière,56,4423,285
Rossinière,La Chaudanne-Les Moulins,131,1633,45
La Chaudanne-Les Moulins,Château-d'Oex,43,4333,360
Château-d'Oex,La Palaz,73,907,45
La Palaz,Château-d'Oex-Les Granges,60,1738,105
Château-d'Oex-Les Granges,Les Combes,46,2108,165
Les Combes,Flendruz,59,1707,105
Flendruz,Rougemont,17,2705,585
Rougemont,Saanen,69,5754,300
Saanen,Gstaad,45,3032,240
Gstaad,Gruben,48,3028,225
Gruben,Schönried,41,3239,285
Schönried,Saanenmöser,35,2737,285
Saanenmöser,Oeschseite,52,4962,345
Oeschseite,Zweisimmen,43,6495,540
St. Gallen AB,Teufen,36,9042,900
Teufen,Bühler,52,4368,300
Bühler,Gais,50,4197,300
Gais,Sammelplatz,65,2971,165
Sammelplatz,Hirschberg,54,2488,165
Hirschberg,Appenzell,28,2307,300
Lausanne-Flon,Lausanne-Chauderon,44,1269,105
Lausanne-Chauderon,Romanel-sur-Lausanne,53,6892,465
Romanel-sur-Lausanne,Cheseaux,24,1509,225
Cheseaux,Echallens,55,7330,480
Echallens,Sugnens,43,4087,345
Sugnens,Fey,110,3215,105
Fey,Bercher,63,3137,180
Lausanne-Flon,Lausanne-Chauderon,44,1269,105
Lausanne-Chauderon,Romanel-sur-Lausanne,53,6892,465
Romanel-sur-Lausanne,Cheseaux,24,1509,225
Cheseaux,Echallens,55,7330,480
,Verdasio,0,5822,-81315
Verdasio,Intragna,35,6473,660
Intragna,Ponte Brolla,45,6531,525
Ponte Brolla,Locarno S. Antonio,67,4174,225
Locarno S. Antonio,Locarno FART,28,2304,300
Locarno FART,Ponte Brolla,58,6478,405
Ponte Brolla,Tegna,48,1387,105
Tegna,Verscio,50,1449,105
Verscio,Cavigliano,35,1011,105
Cavigliano,Intragna,40,2684,240
Intragna,Verdasio,44,6473,525
Verdasio,Camedo,35,5822,600
,Chur,-6,111795,-70200
Basel SBB,Zürich HB,138,122131,3180
Zürich HB,Thalwil,90,13439,540
Thalwil,Wädenswil,102,15225,540
Wädenswil,Pfäffikon SZ,111,12988,420
Pfäffikon SZ,Ziegelbrücke,123,32801,960
Ziegelbrücke,Sargans,137,45724,1200
Sargans,Bad Ragaz,93,7745,300
Bad Ragaz,Landquart,93,7762,300
Landquart,Chur,92,13841,540
,Lugano,-1,29226,-82800
Lugano,Bellinzona,95,34707,1320
Bellinzona,Arth-Goldau,105,163466,5580
Arth-Goldau,Luzern,80,36221,1620
Luzern,Olten,123,67674,1980
Olten,Liestal,121,30363,900
Liestal,Basel SBB,126,18881,540
,Lugano,-1,29226,-82800
Lugano,Bellinzona,95,34707,1320
Bellinzona,Arth-Goldau,105,163466,5580
Arth-Goldau,Zug,80,18654,840
Zug,Zürich HB,90,33034,1320
Zürich HB,Zug,94,33034,1260
Zug,Arth-Goldau,66,18654,1020
Arth-Goldau,Bellinzona,105,162477,5580
Bellinzona,Lugano,99,34707,1260
Lugano,Chiasso,88,29226,1200
,Lugano,-1,29226,-82500
Lugano,Bellinzona,74,34707,1680
Bellinzona,Arth-Goldau,89,163466,6600
Arth-Goldau,Zug,59,18654,1140
Zug,Zürich HB,79,33034,1500
Zürich HB,Zug,94,33034,1260
Zug,Arth-Goldau,66,18654,1020
Arth-Goldau,Bellinzona,105,162477,5580
Bellinzona,Lugano,99,34707,1260
Lugano,Chiasso,88,29226,1200
Basel SBB,Olten,123,49244,1440
Olten,Bern,162,75802,1680
Bern,Thun,120,35943,1080
Thun,Spiez,91,12101,480
Spiez,Visp,145,62643,1560
Visp,Brig,92,12271,480
Bern,Zürich HB,154,151453,3540
Basel SBB,Olten,123,49244,1440
Olten,Bern,162,75802,1680
Bern,Thun,120,35943,1080
Thun,Spiez,91,12101,480
Spiez,Visp,145,62643,1560
Visp,Brig,92,12271,480
Brig,Visp,123,12271,360
Visp,Spiez,150,62643,1500
Spiez,Thun,81,12101,540
Thun,Bern,114,35943,1140
Bern,Olten,175,75802,1560
Olten,Basel SBB,123,49244,1440
Brig,Visp,123,12271,360
Visp,Spiez,150,62643,1500
Spiez,Thun,81,12101,540
Thun,Bern,114,35943,1140
Bern,Olten,175,75802,1560
Olten,Liestal,121,30363,900
Liestal,Basel SBB,103,18881,660
Brig,Spiez,80,74914,3360
Spiez,Thun,81,12101,540
Thun,Bern,120,35943,1080
Bern,Olten,175,75802,1560
Olten,Liestal,121,30363,900
Liestal,Basel SBB,126,18881,540
